SHOT_ZONE,n_shots,observed_make_rate,predicted_make_probability,prediction_minus_observed
Above the Break 3,159,0.3836477987421384,0.3976008107028587,0.013953011960720296
Left Corner 3,11,0.45454545454545453,0.44356513611741416,-0.01098031842804037
Mid-Range,37,0.32432432432432434,0.48483081892040036,0.16050649459607602
Paint (Non-RA),43,0.4418604651162791,0.4791656811997263,0.037305216083447224
Restricted Area,44,0.7045454545454546,0.6467136751331825,-0.05783177941227213
Right Corner 3,5,0.8,0.5119979204618813,-0.28800207953811874
